,title_raw,title_text,title_latex,body_raw,body_text,body_latex,tags
60,Trigonometric identity of finite terms,Trigonometric identity of finite terms,,"Prove that: $$\dfrac{1}{\cos x+\cos {3x}} + \dfrac{1}{\cos x+ \cos {5x}}+\dots+\dfrac{1}{\cos x+ \cos {(2n+1)x}}  \\= \frac{1}{2}\csc x \,[ \tan{(n+1)x}-\tan{x}]$$ I tried to prove this using the regular formulas. But failed. Please help me.","Prove that: $$\dfrac{1}{\cos x+\cos {3x}} + \dfrac{1}{\cos x+ \cos {5x}}+\dots+\dfrac{1}{\cos x+ \cos {(2n+1)x}}  \\= \frac{1}{2}\csc x \,[ \tan{(n+1)x}-\tan{x}]$$ I tried to prove this using the regular formulas. But failed. Please help me.",,"['trigonometry', 'summation', 'induction', 'fractions', 'telescopic-series']"
61,Does this system of equations have any solutions?,Does this system of equations have any solutions?,,I would just like to know if this system has a solution: $$\begin{cases} x = \dfrac{1}{\sqrt{2}} \cos(x+y) \\ y = \dfrac{1}{\sqrt{2}} \sin(x+y)   \end{cases}$$ I don't know how to do it at all. Could someone help me?,I would just like to know if this system has a solution: $$\begin{cases} x = \dfrac{1}{\sqrt{2}} \cos(x+y) \\ y = \dfrac{1}{\sqrt{2}} \sin(x+y)   \end{cases}$$ I don't know how to do it at all. Could someone help me?,,"['trigonometry', 'systems-of-equations']"
62,How to find $ \tan \left(\frac{x}{2}\right) $ knowing that $\cos \left(x\right)+\sin \left(x\right)=\frac{7}{5} $,How to find  knowing that, \tan \left(\frac{x}{2}\right)  \cos \left(x\right)+\sin \left(x\right)=\frac{7}{5} ,"Good evening to everyone. I don't know how to find $ \tan \left(\frac{x}{2}\right) $ knowing that $$\cos \left(x\right)+\sin \left(x\right)=\frac{7}{5} $$ and x$\in (0,\frac{\pi}{3})$ Here's what I've tried: $$\tan \left(\frac{x}{2}\right) = \frac{1-\cos \left(x\right)}{\frac{7}{5}- \cos \left(x\right)}$$ But I don't know what to do from here. Can someone explain to me how to solve this? Thanks for any answers.","Good evening to everyone. I don't know how to find $ \tan \left(\frac{x}{2}\right) $ knowing that $$\cos \left(x\right)+\sin \left(x\right)=\frac{7}{5} $$ and x$\in (0,\frac{\pi}{3})$ Here's what I've tried: $$\tan \left(\frac{x}{2}\right) = \frac{1-\cos \left(x\right)}{\frac{7}{5}- \cos \left(x\right)}$$ But I don't know what to do from here. Can someone explain to me how to solve this? Thanks for any answers.",,['trigonometry']
63,Solving for $x$ in $\tan(3x) \tan (2x)= 1$,Solving for  in,x \tan(3x) \tan (2x)= 1,If   $$\tan(3x) \tan(2x)= 1$$   Then $x$ is equal to Attempt: I used the '$\tan$' identity but it showed no results. The identity: $$\frac{\tan(2x)+\tan(3x)}{1-\tan(2x)\tan(3x)}$$,If   $$\tan(3x) \tan(2x)= 1$$   Then $x$ is equal to Attempt: I used the '$\tan$' identity but it showed no results. The identity: $$\frac{\tan(2x)+\tan(3x)}{1-\tan(2x)\tan(3x)}$$,,['trigonometry']
64,"How to prove that $\int_0^{\infty}\cos(\alpha t)e^{-\lambda t}\,\mathrm{d}t=\frac{\lambda}{\alpha^2+\lambda^2}$ using real methods?",How to prove that  using real methods?,"\int_0^{\infty}\cos(\alpha t)e^{-\lambda t}\,\mathrm{d}t=\frac{\lambda}{\alpha^2+\lambda^2}","Could you possibly help me prove $$\int_0^{\infty}\cos(\alpha t)e^{-\lambda t}\,\mathrm{d}t=\frac{\lambda}{\alpha^2+\lambda^2}$$ I'm an early calculus student, so I would appreciate a thorough answer using real and as basic as possible methods. Thank you in advance.","Could you possibly help me prove $$\int_0^{\infty}\cos(\alpha t)e^{-\lambda t}\,\mathrm{d}t=\frac{\lambda}{\alpha^2+\lambda^2}$$ I'm an early calculus student, so I would appreciate a thorough answer using real and as basic as possible methods. Thank you in advance.",,"['real-analysis', 'integration', 'trigonometry']"
65,Prove that $ \tan40° + \sqrt 3 =4 \sin40° $,Prove that, \tan40° + \sqrt 3 =4 \sin40° ,The equality I'm trying to prove looks like that: $$ \tan40° + \sqrt 3 =4 \sin40° $$ My guess is that $\sqrt3$ can be rewritten as $\tan60°$ and I can use proved in previous exercise formula $$\tan3  \alpha = \frac{(3 - \tan^2\alpha)\tan\alpha}{1 - 3\tan\alpha}$$ But after dealing with it for an hour I feel misled. Some hints would be greatly appreciated.,The equality I'm trying to prove looks like that: $$ \tan40° + \sqrt 3 =4 \sin40° $$ My guess is that $\sqrt3$ can be rewritten as $\tan60°$ and I can use proved in previous exercise formula $$\tan3  \alpha = \frac{(3 - \tan^2\alpha)\tan\alpha}{1 - 3\tan\alpha}$$ But after dealing with it for an hour I feel misled. Some hints would be greatly appreciated.,,['trigonometry']
66,Solve: $-\frac{1}{\sqrt{2}} < \sin \theta + \cos \theta < \frac{1}{\sqrt{2}}$,Solve:,-\frac{1}{\sqrt{2}} < \sin \theta + \cos \theta < \frac{1}{\sqrt{2}},The question is: Solve $$-\frac{1}{\sqrt{2}} \lt \sin\theta + \cos\theta < \frac{1}{\sqrt{2}}$$ for values of $\theta$ between $0^\circ$ and $180^\circ$. I realized that: $$\begin{align} -\frac{1}{\sqrt{2}} < \sin\theta + \cosθ &< \frac{1}{\sqrt{2}} \\[4pt] \left|\sin\theta + \cosθ\right| &< \frac{1}{\sqrt{2}} \\[4pt] \left(\sin\theta + \cos\theta\right)^2 &< \frac12 \\[4pt] \sin^2\theta + 2\sin\theta\cos\theta + \cos^2\theta &< \frac12 \\[4pt] 1 + 2\sin\theta\cos\theta &< \frac12 \\[4pt] 1 + \sin 2\theta &< \frac12 \\[4pt] \sin 2\theta &< -\frac12 \end{align}$$ But I don't know where to go from here. Can someone help me figure out how to get to the answer in the book: $105^\circ < θ < 165^\circ$. Thanks!,The question is: Solve $$-\frac{1}{\sqrt{2}} \lt \sin\theta + \cos\theta < \frac{1}{\sqrt{2}}$$ for values of $\theta$ between $0^\circ$ and $180^\circ$. I realized that: $$\begin{align} -\frac{1}{\sqrt{2}} < \sin\theta + \cosθ &< \frac{1}{\sqrt{2}} \\[4pt] \left|\sin\theta + \cosθ\right| &< \frac{1}{\sqrt{2}} \\[4pt] \left(\sin\theta + \cos\theta\right)^2 &< \frac12 \\[4pt] \sin^2\theta + 2\sin\theta\cos\theta + \cos^2\theta &< \frac12 \\[4pt] 1 + 2\sin\theta\cos\theta &< \frac12 \\[4pt] 1 + \sin 2\theta &< \frac12 \\[4pt] \sin 2\theta &< -\frac12 \end{align}$$ But I don't know where to go from here. Can someone help me figure out how to get to the answer in the book: $105^\circ < θ < 165^\circ$. Thanks!,,"['trigonometry', 'inequality']"
67,Minimum value of $\cos A+\cos B+\cos C$ in a triangle $ABC$,Minimum value of  in a triangle,\cos A+\cos B+\cos C ABC,I have used jensen's inequality but couldn't move on.,I have used jensen's inequality but couldn't move on.,,"['trigonometry', 'inequality', 'triangles']"
68,"If $\sin( 2 \theta) = \cos( 3)$ and $\theta \leq 90°$, find $\theta$","If  and , find",\sin( 2 \theta) = \cos( 3) \theta \leq 90° \theta,"Find $\theta\leq90°$ if  $$\sin( 2 \theta) = \cos( 3)$$ I know that $\sin 2\theta = 2\sin\theta\cos \theta$, or alternatively, $\theta = \dfrac{\sin^{-1}(\cos 3)}{2}$. Can somebody help me?","Find $\theta\leq90°$ if  $$\sin( 2 \theta) = \cos( 3)$$ I know that $\sin 2\theta = 2\sin\theta\cos \theta$, or alternatively, $\theta = \dfrac{\sin^{-1}(\cos 3)}{2}$. Can somebody help me?",,['trigonometry']
69,How do you find this product?,How do you find this product?,,Is there a way to find the exact value of the product $$P=\displaystyle\prod_{n=1}^{1007} \sin {\left(\dfrac{n\pi}{2015}\right)}$$,Is there a way to find the exact value of the product $$P=\displaystyle\prod_{n=1}^{1007} \sin {\left(\dfrac{n\pi}{2015}\right)}$$,,['trigonometry']
70,Using De Moivre's Theorem to prove $\cos(3\theta) = 4\cos^3(\theta) - 3\cos(\theta)$ trig identity,Using De Moivre's Theorem to prove  trig identity,\cos(3\theta) = 4\cos^3(\theta) - 3\cos(\theta),"I am stuck on trying to prove a trig identity using De Moivre's theorem. I have to prove, $$\cos(3\theta) = 4\cos^3(\theta) - 3\cos(\theta)$$ I am not sure where to even start, I broke the LHS down to $$\cos(3\theta) + i\sin(3\theta)$$ but I have no idea where to go from here, or if this is fully correct. If I could get some pointers or a simple worked example  that I could follow it would be great. Thanks","I am stuck on trying to prove a trig identity using De Moivre's theorem. I have to prove, $$\cos(3\theta) = 4\cos^3(\theta) - 3\cos(\theta)$$ I am not sure where to even start, I broke the LHS down to $$\cos(3\theta) + i\sin(3\theta)$$ but I have no idea where to go from here, or if this is fully correct. If I could get some pointers or a simple worked example  that I could follow it would be great. Thanks",,['trigonometry']
71,"If $\sin\alpha + \cos\alpha = 0.2$, find the numerical value of $\sin2\alpha$.","If , find the numerical value of .",\sin\alpha + \cos\alpha = 0.2 \sin2\alpha,"If $\sin\alpha + \cos\alpha = 0.2$, find the numerical value of $\sin2\alpha$. How do I find a value for $\sin\alpha$ or $\cos\alpha$ so I can use a double angle formula? I know how to solve a problem like "" If $\cos\alpha = \frac{\sqrt{3}}{2}$ , find $\sin2\alpha$ "" by using the 'double angle' formula: $\sin2\alpha = 2\sin\alpha\cos\alpha$ like this: Start by computing $\sin\alpha$ $$\sin^2\alpha = 1 -\cos^2\alpha = 1-(\frac{\sqrt{3}}{2})^2 = \frac{1}{4}$$ so $$\sin\alpha = \pm\frac{1}{2}$$ then it's just a simple matter of plugging $\sin\alpha = \pm\frac{1}{2}$ and $\cos\alpha=\frac{\sqrt{3}}{2}$ into $$\sin2\alpha = 2\sin\alpha\cos\alpha$$  to get $$\sin2\alpha = \pm\frac{\sqrt{3}}{2}$$ Where I can not make progress with the question ""If $\sin\alpha + \cos\alpha = 0.2$, find the numerical value of $\sin2\alpha$"". Is how do I find a value for $\sin\alpha$ or $\cos\alpha$ so I can use a double angle formula? What I have tried: If $\sin\alpha+\cos\alpha = 0.2$ then $\sin\alpha=0.2-\cos\alpha$ and $\cos\alpha=0.2-\sin\alpha$. Should I start by  by computing $\sin\alpha$ using $\sin^2\alpha = 1 -\cos^2\alpha = 1-(0.2-\cos\alpha)^2$?","If $\sin\alpha + \cos\alpha = 0.2$, find the numerical value of $\sin2\alpha$. How do I find a value for $\sin\alpha$ or $\cos\alpha$ so I can use a double angle formula? I know how to solve a problem like "" If $\cos\alpha = \frac{\sqrt{3}}{2}$ , find $\sin2\alpha$ "" by using the 'double angle' formula: $\sin2\alpha = 2\sin\alpha\cos\alpha$ like this: Start by computing $\sin\alpha$ $$\sin^2\alpha = 1 -\cos^2\alpha = 1-(\frac{\sqrt{3}}{2})^2 = \frac{1}{4}$$ so $$\sin\alpha = \pm\frac{1}{2}$$ then it's just a simple matter of plugging $\sin\alpha = \pm\frac{1}{2}$ and $\cos\alpha=\frac{\sqrt{3}}{2}$ into $$\sin2\alpha = 2\sin\alpha\cos\alpha$$  to get $$\sin2\alpha = \pm\frac{\sqrt{3}}{2}$$ Where I can not make progress with the question ""If $\sin\alpha + \cos\alpha = 0.2$, find the numerical value of $\sin2\alpha$"". Is how do I find a value for $\sin\alpha$ or $\cos\alpha$ so I can use a double angle formula? What I have tried: If $\sin\alpha+\cos\alpha = 0.2$ then $\sin\alpha=0.2-\cos\alpha$ and $\cos\alpha=0.2-\sin\alpha$. Should I start by  by computing $\sin\alpha$ using $\sin^2\alpha = 1 -\cos^2\alpha = 1-(0.2-\cos\alpha)^2$?",,['trigonometry']
72,Trigonometry- why we need to relate to circles,Trigonometry- why we need to relate to circles,,"I'm a trigonometry teaching assistant this semester and have a perhaps basic question about the motivation for using the circle in the study of trigonometry. I certainly understand Pythagorean Theorem and all that (I would hope so if I'm a teaching assistant!) but am looking for more clarification on why we need the circle, not so much that we can use it. I'll be more specific- to create an even angle incrementation, it seems unfeasible, for example, to use the line $y = -x+1$, divide it into even increments, and then draw segments to the origin to this lattice of points, because otherwise $\tan(\pi/3)$ would equal $(2/3)/(1/3)=2$. But why mathematically can't we do this?","I'm a trigonometry teaching assistant this semester and have a perhaps basic question about the motivation for using the circle in the study of trigonometry. I certainly understand Pythagorean Theorem and all that (I would hope so if I'm a teaching assistant!) but am looking for more clarification on why we need the circle, not so much that we can use it. I'll be more specific- to create an even angle incrementation, it seems unfeasible, for example, to use the line $y = -x+1$, divide it into even increments, and then draw segments to the origin to this lattice of points, because otherwise $\tan(\pi/3)$ would equal $(2/3)/(1/3)=2$. But why mathematically can't we do this?",,['trigonometry']
73,non-calculus proof that $|x| + |y| \le \sqrt{2} |z|$,non-calculus proof that,|x| + |y| \le \sqrt{2} |z|,"I would like to see a nice, non-calculus proof that $|x| + |y| \le \sqrt{2} |z|$, where $z$ is the complex number $x + iy$. The more elementary the better, avoiding even trig if possible. Thank you.","I would like to see a nice, non-calculus proof that $|x| + |y| \le \sqrt{2} |z|$, where $z$ is the complex number $x + iy$. The more elementary the better, avoiding even trig if possible. Thank you.",,"['trigonometry', 'inequality', 'complex-numbers']"
74,Memorizing the unit circle?,Memorizing the unit circle?,,"I know a quick google brings up plenty of resources on memorization techniques for the unit circle but I thought I would get the math stack exchange's opinion. What is the best way to memorize the radian angles and their corresponding points on the unit circle? ( Right now I am thinking of just drawing it from scratch until I've got it.) Is memorizing the circle the best way to be able to quickly solve trig functions? (When first learning at least) How would I solve a trig function that takes an angle as an argument that has not been memorized? (You can memorize the angles that are common but there's no way you could memorize every possible angle between 0 and 2pi, is there?)","I know a quick google brings up plenty of resources on memorization techniques for the unit circle but I thought I would get the math stack exchange's opinion. What is the best way to memorize the radian angles and their corresponding points on the unit circle? ( Right now I am thinking of just drawing it from scratch until I've got it.) Is memorizing the circle the best way to be able to quickly solve trig functions? (When first learning at least) How would I solve a trig function that takes an angle as an argument that has not been memorized? (You can memorize the angles that are common but there's no way you could memorize every possible angle between 0 and 2pi, is there?)",,['trigonometry']
75,What is the optimal angle when throwing a stone on a slope?,What is the optimal angle when throwing a stone on a slope?,,"The question what-is-the-optimum-angle-of-projection-when-throwing-a-stone-off-a-cliff was asked and answered a while back.  This one has a much cleaner answer.  Now you are on a uniform slope, a line through the origin that is not horizontal and you want to throw a stone as far as possible.  As a function of the angle of the slope, what angle should you throw at?  Usual assumptions:  uniform gravity, no friction.","The question what-is-the-optimum-angle-of-projection-when-throwing-a-stone-off-a-cliff was asked and answered a while back.  This one has a much cleaner answer.  Now you are on a uniform slope, a line through the origin that is not horizontal and you want to throw a stone as far as possible.  As a function of the angle of the slope, what angle should you throw at?  Usual assumptions:  uniform gravity, no friction.",,"['calculus', 'trigonometry', 'physics', 'optimization']"
76,Integration of $\sin^2x$ without using double angle identity of $\cos 2x$,Integration of  without using double angle identity of,\sin^2x \cos 2x,"I want to integrate $\sin^2x$ without using the double angle identity of $\cos2x$ . Here's what I tried: $$ \int \sin^2x dx = \int \sin x \tan x \cos x dx $$ Let $u = \sin x$ => $du = \cos x dx$ And if $u = \sin x$ , $\tan x = \frac{u}{\sqrt{1-u^2}}$ , therefore $$ =\int u × \frac{u}{\sqrt{1-u^2}}du = \int \frac{u^2}{\sqrt{1-u^2}}du $$ Now if $t = \sqrt{1 - u^2}$ , $2dt = \frac{du}{\sqrt{1-u^2}}$ and $u^2 = 1 - t^2$ $$ = 2\int (1-t^2)dt = 2t - \frac{2t^3}{3}$$ Substituting back $u$ and $\sin x$ $$ = 2\sqrt{1-u^2} - \frac{2}{3}(\sqrt{1 - u^2})^3 $$ $$ = 2\cos x - \frac{2}{3}\cos^3x $$ But when you differentiate it you get $-2sin^3x$ All the steps seem right to me, why is the answer wrong or what I did is wrong, and is using the double angle formula the only way to integrate it?","I want to integrate without using the double angle identity of . Here's what I tried: Let => And if , , therefore Now if , and Substituting back and But when you differentiate it you get All the steps seem right to me, why is the answer wrong or what I did is wrong, and is using the double angle formula the only way to integrate it?","\sin^2x \cos2x 
\int \sin^2x dx
= \int \sin x \tan x \cos x dx
 u = \sin x du = \cos x dx u = \sin x \tan x = \frac{u}{\sqrt{1-u^2}} 
=\int u × \frac{u}{\sqrt{1-u^2}}du = \int \frac{u^2}{\sqrt{1-u^2}}du
 t = \sqrt{1 - u^2} 2dt = \frac{du}{\sqrt{1-u^2}} u^2 = 1 - t^2 
= 2\int (1-t^2)dt = 2t - \frac{2t^3}{3} u \sin x 
= 2\sqrt{1-u^2} - \frac{2}{3}(\sqrt{1 - u^2})^3
 
= 2\cos x - \frac{2}{3}\cos^3x
 -2sin^3x","['calculus', 'integration', 'trigonometry']"
77,Is $\cos(2\theta)=\frac{2e^{i\theta}+2e^{-i\theta}}2$ a correct application of Euler's Formula?,Is  a correct application of Euler's Formula?,\cos(2\theta)=\frac{2e^{i\theta}+2e^{-i\theta}}2,"I know that using Euler's Formula we can write cosine like the first expression, but concerning the second expression, is it correct like that? $$\cos(\theta)=\frac{e^{i\theta}+e^{-i\theta}}2$$ $$\cos(2\theta)=\frac{2e^{i\theta}+2e^{-i\theta}}2$$","I know that using Euler's Formula we can write cosine like the first expression, but concerning the second expression, is it correct like that?",\cos(\theta)=\frac{e^{i\theta}+e^{-i\theta}}2 \cos(2\theta)=\frac{2e^{i\theta}+2e^{-i\theta}}2,['trigonometry']
78,Asymptotic solution to $\cot(x)=\lambda x$,Asymptotic solution to,\cot(x)=\lambda x,"I need to solve $\cot(x)=\lambda x$ in the interval $(0,\pi)$ and where $\lambda\gg1$. I know that my solution is very close to zero, I've tried with the assumption $x\sim\lambda^{-1}$, but I haven't been able to find an analytical approximation for $x$.. any hints or ideas?","I need to solve $\cot(x)=\lambda x$ in the interval $(0,\pi)$ and where $\lambda\gg1$. I know that my solution is very close to zero, I've tried with the assumption $x\sim\lambda^{-1}$, but I haven't been able to find an analytical approximation for $x$.. any hints or ideas?",,"['trigonometry', 'asymptotics', 'roots']"
79,Find the value of $\arctan(1/3)$,Find the value of,\arctan(1/3),How can I calculate $\arctan\left({1\over 3}\right)$ in terms of $\pi$ ? I know that $\tan^2(\frac{\pi}{6})= {1\over3}$ but don't know if that helps in any way.,How can I calculate $\arctan\left({1\over 3}\right)$ in terms of $\pi$ ? I know that $\tan^2(\frac{\pi}{6})= {1\over3}$ but don't know if that helps in any way.,,['trigonometry']
80,Why is the value of $\frac{\sin\theta}{\sin\sin\theta}$ close to the number of degrees in a radian?,Why is the value of  close to the number of degrees in a radian?,\frac{\sin\theta}{\sin\sin\theta},"Why is $\cfrac{\sin\theta}{\sin\sin\theta}$ very close to 1 radian $(57.2958°)$? I tested this out for $\theta=1^{\circ}$ and $\theta=45^{\circ}$ and various other angles, but I always seem to get about the same answer.","Why is $\cfrac{\sin\theta}{\sin\sin\theta}$ very close to 1 radian $(57.2958°)$? I tested this out for $\theta=1^{\circ}$ and $\theta=45^{\circ}$ and various other angles, but I always seem to get about the same answer.",,['trigonometry']
81,Integration of trigonometric function $\int\frac{\sin(2x)}{\sin(x)-\cos(x)}dx$,Integration of trigonometric function,\int\frac{\sin(2x)}{\sin(x)-\cos(x)}dx,"$$\int\frac{\sin(2x)}{\sin(x)-\cos(x)}dx$$ My attempt: Firstly, $\sin(2x)=2\sin(x)\cos(x)$. After that, eliminate the $\cos(x)$ seen in both the numerator and denominator to get $$2\int\frac{\sin(x)}{\tan(x)-1}\ dx.$$ From here onwards, should I convert $\sin(x)$, $\tan(x)$ to half-angles and use $\tan(x/2)=t$? But this would be a time consuming method. Any suggestions?","$$\int\frac{\sin(2x)}{\sin(x)-\cos(x)}dx$$ My attempt: Firstly, $\sin(2x)=2\sin(x)\cos(x)$. After that, eliminate the $\cos(x)$ seen in both the numerator and denominator to get $$2\int\frac{\sin(x)}{\tan(x)-1}\ dx.$$ From here onwards, should I convert $\sin(x)$, $\tan(x)$ to half-angles and use $\tan(x/2)=t$? But this would be a time consuming method. Any suggestions?",,"['real-analysis', 'integration', 'trigonometry', 'indefinite-integrals']"
82,Minimizing $\cot^2 A +\cot^2 B + \cot^2 C$ for $A+B+C=\pi$,Minimizing  for,\cot^2 A +\cot^2 B + \cot^2 C A+B+C=\pi,"If $A + B + C = \pi$, then find the minimum value of $\cot^2 A +\cot^2 B + \cot^2 C$. I don't know how to solve it. And can you please mention the used formulas first. What I can see is that if one of the angles $A$, $B$, $C$ is small, then the value $\cot^2A$ or $\cot^2B$ or $\cot^2C$ will be big. So I want to make angles big (more precisely, close to $\pi/2$, where cotangent is zero), but the condition $A+B+C=\pi$ prevents me from making all three of them very big . I can see that if $A=B=C=\frac\pi3$, then I get $\cot A=\cot B=\cot C=\frac1{\sqrt3}$ and $\cot^2A+\cot^2B+\cot^2C=1$. But I do not know whether this is indeed minimum. (According to WolframAlpha this is the minimum . However, I would like to see some proof of this fact.)","If $A + B + C = \pi$, then find the minimum value of $\cot^2 A +\cot^2 B + \cot^2 C$. I don't know how to solve it. And can you please mention the used formulas first. What I can see is that if one of the angles $A$, $B$, $C$ is small, then the value $\cot^2A$ or $\cot^2B$ or $\cot^2C$ will be big. So I want to make angles big (more precisely, close to $\pi/2$, where cotangent is zero), but the condition $A+B+C=\pi$ prevents me from making all three of them very big . I can see that if $A=B=C=\frac\pi3$, then I get $\cot A=\cot B=\cot C=\frac1{\sqrt3}$ and $\cot^2A+\cot^2B+\cot^2C=1$. But I do not know whether this is indeed minimum. (According to WolframAlpha this is the minimum . However, I would like to see some proof of this fact.)",,"['trigonometry', 'inequality', 'optimization', 'triangles']"
83,Solve the equation: $ \sin x - 3\sin 2x + \sin 3x = \cos x - 3\cos 2x + \cos3x$,Solve the equation:, \sin x - 3\sin 2x + \sin 3x = \cos x - 3\cos 2x + \cos3x,How do I solve this equation: $$ \sin x - 3\sin 2x + \sin 3x = \cos x - 3\cos 2x + \cos3x$$,How do I solve this equation: $$ \sin x - 3\sin 2x + \sin 3x = \cos x - 3\cos 2x + \cos3x$$,,['trigonometry']
84,How to solve the trigonometric equation $\sin x-\cos x-2(2)^{\frac 1 2}\sin x\cos x=0$,How to solve the trigonometric equation,\sin x-\cos x-2(2)^{\frac 1 2}\sin x\cos x=0,"the question is: Find the solutions of the equation: $\sin x-\cos x-2(2)^{\frac 1 2}\sin x\cos x=0$. Let  $\sin x+\cos x=u \text{ and } \sin x \cos x=v \implies \sin^2x+\cos^2x+2\sin x\cos x=u^2 \implies v=\frac {u^2-1} 2$ similarly solving the above equation it comes out to be: $$\sqrt2 u^2-u-\sqrt2=0=(u-\sqrt2)(\sqrt2u+1)=0 \implies \sin x+\cos x=\sqrt2 \quad(1)$$ and $$\sin x+\cos x= \frac{-1} {\sqrt2}\quad (2)$$ so solving the results differently i got the answers: $$x=2n\pi + \frac{\pi}4, 2n\pi +\frac{7\pi}{12}, 2n\pi-\frac{\pi}{12}$$ but the answers are: $$x=2n\pi + \frac{\pi}4, 2n\pi -\frac{5\pi}{12}, 2n\pi+\frac{11\pi}{12}$$ I divided the eq(2) by $\sqrt2$","the question is: Find the solutions of the equation: $\sin x-\cos x-2(2)^{\frac 1 2}\sin x\cos x=0$. Let  $\sin x+\cos x=u \text{ and } \sin x \cos x=v \implies \sin^2x+\cos^2x+2\sin x\cos x=u^2 \implies v=\frac {u^2-1} 2$ similarly solving the above equation it comes out to be: $$\sqrt2 u^2-u-\sqrt2=0=(u-\sqrt2)(\sqrt2u+1)=0 \implies \sin x+\cos x=\sqrt2 \quad(1)$$ and $$\sin x+\cos x= \frac{-1} {\sqrt2}\quad (2)$$ so solving the results differently i got the answers: $$x=2n\pi + \frac{\pi}4, 2n\pi +\frac{7\pi}{12}, 2n\pi-\frac{\pi}{12}$$ but the answers are: $$x=2n\pi + \frac{\pi}4, 2n\pi -\frac{5\pi}{12}, 2n\pi+\frac{11\pi}{12}$$ I divided the eq(2) by $\sqrt2$",,"['trigonometry', 'solution-verification']"
85,Period of $\sin(x) + \cos(x)$,Period of,\sin(x) + \cos(x),The period of $\sin(x)$ is $2\pi$ and $\cos(x)$ is $2\pi$. And the period of $\sin(x)+\cos(x)$ is also $2\pi$. Why it is so?,The period of $\sin(x)$ is $2\pi$ and $\cos(x)$ is $2\pi$. And the period of $\sin(x)+\cos(x)$ is also $2\pi$. Why it is so?,,['trigonometry']
86,Express the cosine of triple angle $3x$ in terms of cosines of $2x$ and $x$,Express the cosine of triple angle  in terms of cosines of  and,3x 2x x,"Show that $$\cos{3x}=2\cos{2x}\cos{x}-\cos{x}$$ I've tried adding and subtracting $\cos{x}$ from $\cos{3x}$, like this: $$\cos{3x}+\cos{x}-\cos{x}$$ so I get that $$\cos{3x}+\cos{x}=2\cos{2x}\cos{x}$$ But I have no idea how these are equal.","Show that $$\cos{3x}=2\cos{2x}\cos{x}-\cos{x}$$ I've tried adding and subtracting $\cos{x}$ from $\cos{3x}$, like this: $$\cos{3x}+\cos{x}-\cos{x}$$ so I get that $$\cos{3x}+\cos{x}=2\cos{2x}\cos{x}$$ But I have no idea how these are equal.",,['trigonometry']
87,"How to integrate this formula with secant, exponential, and tangent?","How to integrate this formula with secant, exponential, and tangent?",,How to integrate this? $$\int \sec^2(3x)\ e^{\large\tan (3x)}\ dx$$,How to integrate this? $$\int \sec^2(3x)\ e^{\large\tan (3x)}\ dx$$,,"['calculus', 'integration', 'trigonometry', 'indefinite-integrals']"
88,A closed form for the antiderivative of $\frac 1{\sin^5 x +\cos^5 x} $,A closed form for the antiderivative of,\frac 1{\sin^5 x +\cos^5 x} ,Does there exist a closed form expression for  $$\int \dfrac {dx}{\sin^5 x +\cos^5 x}? $$,Does there exist a closed form expression for  $$\int \dfrac {dx}{\sin^5 x +\cos^5 x}? $$,,['integration']
89,Prove $1 + \cot^2\theta = \csc^2\theta$,Prove,1 + \cot^2\theta = \csc^2\theta,Prove the following identity: $$1 + \cot^2\theta = \csc^2\theta$$ This question is asked because I am curious to know the different ways of proving this identity depending on different characterizations of cotangent and cosecant.,Prove the following identity: $$1 + \cot^2\theta = \csc^2\theta$$ This question is asked because I am curious to know the different ways of proving this identity depending on different characterizations of cotangent and cosecant.,,"['trigonometry', 'alternative-proof']"
90,Why is $\sin(x) = \sin(180^{\circ}-x)$,Why is,\sin(x) = \sin(180^{\circ}-x),I cannot seem to understand why this is true. Same for $\cos(x) = -\cos(180^{\circ}-x)$ and $\tan(x) = -\tan(180^{\circ}-x)$. Without the use of the compound angle formulas. Thanks,I cannot seem to understand why this is true. Same for $\cos(x) = -\cos(180^{\circ}-x)$ and $\tan(x) = -\tan(180^{\circ}-x)$. Without the use of the compound angle formulas. Thanks,,['trigonometry']
91,Solve for $\theta$ in $2\sec^2θ-4 =0$,Solve for  in,\theta 2\sec^2θ-4 =0,Solve for $\theta$ in $2\sec^2θ-4 =0$ I have gotten toward $\sec^2θ=2$ Then $\dfrac{1}{\cos^2θ} = 2$ What is the next step to this problem?,Solve for $\theta$ in $2\sec^2θ-4 =0$ I have gotten toward $\sec^2θ=2$ Then $\dfrac{1}{\cos^2θ} = 2$ What is the next step to this problem?,,['trigonometry']
92,Find minimum of $\sin^4 x + \cos^4 x + \sec^4 x$,Find minimum of,\sin^4 x + \cos^4 x + \sec^4 x,"I tried manipulating the terms but I couldn't get anywhere. The only other thing I can observe is that the minimum must be greater than $1$ since all the terms are non-negative and the range of $\sec^4 x$ is $[1, \infty)$. Also it can't be $1$ since then $\sin^4 x + \cos^4$ must be $0$ which means $\sin x = \cos x = 0$ which is untrue for all $x$.","I tried manipulating the terms but I couldn't get anywhere. The only other thing I can observe is that the minimum must be greater than $1$ since all the terms are non-negative and the range of $\sec^4 x$ is $[1, \infty)$. Also it can't be $1$ since then $\sin^4 x + \cos^4$ must be $0$ which means $\sin x = \cos x = 0$ which is untrue for all $x$.",,['trigonometry']
